geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
33400,-19.63152879075135,-43.91134898714671,lagoa santa,MG
15880,-20.970035367508803,-49.03805514660694,tabapua,SP
31573,-19.81061179127236,-43.99179284337376,belo horizonte,MG
4001,-23.573329668619014,-46.652972548560285,sao paulo,SP
5017,-23.53964695530619,-46.68179756093819,sao paulo,SP
9811,-23.72720451154119,-46.55582100000001,sao bernardo do campo,SP
8030,-23.50255950513589,-46.423264457816366,sao paulo,SP
19905,-22.99134346433723,-49.88390216625307,ourinhos,SP
7031,-23.49189491395926,-46.54629394463038,guarulhos,SP
8253,-23.54875465139367,-46.43763200957928,sao paulo,SP
24724,-22.80346087657063,-42.95282513379925,sao goncalo,RJ
13920,-22.735624661898036,-46.90161211508495,pedreira,SP
11075,-23.956972093254095,-46.34475281072185,santos,SP
13569,-22.024351844566954,-47.871713787119866,sao carlos,SP
95200,-28.49671445809497,-50.95509768537991,vacaria,RS
13370,-23.021344682864957,-47.528427787992975,rafard,SP
24421,-22.83027272348638,-43.047638030301286,sao goncalo,RJ
26215,-22.753512,-43.445156637000345,nova iguacu,RJ
18040,-23.50600954371285,-47.465439066333886,sorocaba,SP
22260,-22.94698341825844,-43.18736076242138,rio de janeiro,RJ
95913,-29.44074652938538,-51.963456022739,lajeado,RS
4937,-23.68381890813089,-46.75848697085809,sao paulo,SP
5713,-23.62865940605341,-46.72941121816024,são paulo,SP
95020,-29.16281106444416,-51.181497940926185,caxias do sul,RS
29100,-20.336198773550155,-40.29059343418231,vila velha,ES
22441,-22.98701787010218,-43.22781982223437,rio de janeiro,RJ
13015,-22.90408143435861,-47.05860344379367,campinas,SP
13175,-22.822919014608665,-47.239498500021,sumare,SP
37200,-21.24261220038665,-45.01163050429916,lavras,MG
17340,-22.49031362031337,-48.55968670325518,barra bonita,SP
11065,-23.9678895545329,-46.34412123980033,santos,SP
36033,-21.79073342714524,-43.36365865598131,juiz de fora,MG
11420,-24.007027389114448,-46.273801691267046,guaruja,SP
85880,-25.15567056586843,-54.27883257599211,itaipulandia,PR
11680,-23.42232271278373,-45.11270538672842,ubatuba,SP
18950,-23.057307,-49.63833,ipaussu,SP
79041,-20.473867423827013,-54.57689029808414,campo grande,MS
31270,-19.869614117310014,-43.95028488759122,belo horizonte,MG
87030,-23.42113386092465,-51.91368788249601,maringa,PR
25803,-22.114931849301893,-43.20418377871129,tres rios,RJ
25561,-22.775046477424283,-43.36652203840375,sao joao de meriti,RJ
21371,-22.84574786594724,-43.33201793574359,rio de janeiro,RJ
1308,-23.55641963281201,-46.65272290521668,sao paulo,SP
18683,-22.592993929237185,-48.80679027552383,lencois paulista,SP
95700,-29.18483837656854,-51.52044120938643,bento goncalves,RS
23090,-22.88103426810552,-43.55884686871719,rio de janeiro,RJ
29102,-20.35514168737552,-40.3038815375732,vila velha,ES
