product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
1eba879220bd0981a0e2fbab499ed4e1,moveis_escritorio,57.0,476.0,1.0,8950.0,52.0,51.0,17.0
5f504b3a1c75b73d6151be81eb05bdc9,cool_stuff,38.0,1176.0,3.0,15350.0,47.0,40.0,47.0
b5cfb1d3c5e435a7a52227e08f220ee7,cool_stuff,55.0,410.0,2.0,1300.0,36.0,16.0,24.0
be1be330cf34043d1c40d6114cbd11b5,relogios_presentes,51.0,484.0,1.0,317.0,19.0,13.0,16.0
55ec10b39713ee81ee2c5bcb558cf866,fashion_bolsas_e_acessorios,53.0,1398.0,1.0,300.0,16.0,2.0,11.0
f9471562478eba8761bc985b968a0092,utilidades_domesticas,38.0,390.0,1.0,850.0,18.0,21.0,15.0
ed46d1fbd7bf78ce79910c09fb892abb,esporte_lazer,52.0,406.0,1.0,800.0,20.0,25.0,25.0
4473f3e5c65952b074ef987fa5c24662,telefonia,59.0,776.0,6.0,350.0,17.0,4.0,12.0
5e21d5cab5d33e770d8150a4ee6117db,relogios_presentes,60.0,312.0,4.0,200.0,16.0,2.0,11.0
bbaef2eadf31fe3ea6702077398be06c,perfumaria,45.0,1003.0,2.0,400.0,18.0,11.0,11.0
d1fbb5683c8e93f314d0f2bf40d07761,cama_mesa_banho,53.0,155.0,2.0,1500.0,39.0,12.0,25.0
0e40b1ed4cfd3da1962ec91913e54ba8,eletronicos,52.0,424.0,1.0,175.0,22.0,11.0,15.0
e2c3ed9aaddfd2312a6a5fe9b3ddadd3,brinquedos,53.0,579.0,1.0,675.0,22.0,24.0,21.0
c6336fa91fbd87c359e44f5dca5a90ed,esporte_lazer,39.0,772.0,1.0,150.0,16.0,16.0,11.0
2029248294c186017ecfc48cecd47bbd,ferramentas_jardim,44.0,586.0,3.0,3250.0,32.0,14.0,22.0
e8f22df5fa5b454907286aa61d6216a8,fashion_calcados,57.0,404.0,2.0,1500.0,22.0,12.0,33.0
ce130b350f529a1d6288f927da7404ea,cama_mesa_banho,50.0,171.0,1.0,1450.0,45.0,10.0,15.0
d0877f0094337c414d23f5a3c7bad20c,moveis_escritorio,48.0,489.0,2.0,30000.0,50.0,50.0,30.0
4ed86bcb86407328452ac1c5b3b89d67,bebes,59.0,255.0,2.0,500.0,30.0,8.0,35.0
457c5f8a59156ce6315753d8d788a16a,relogios_presentes,60.0,460.0,4.0,200.0,16.0,2.0,11.0
e24f73b7631ee3fbb2ab700a9acaa258,fashion_bolsas_e_acessorios,60.0,1118.0,6.0,2250.0,22.0,15.0,20.0
0bb7cb61f1957f79dac582ab66ccdc1f,utilidades_domesticas,45.0,561.0,2.0,553.0,18.0,9.0,15.0
ad19bca6e0f1919433d7e21d534ddb50,livros_interesse_geral,42.0,1109.0,1.0,900.0,18.0,25.0,16.0
334995514673fb6bae67885458b52984,utilidades_domesticas,37.0,261.0,2.0,250.0,25.0,25.0,25.0
2068e3435a38f6a3cc95ba89a96378ab,automotivo,58.0,894.0,1.0,3300.0,35.0,20.0,20.0
068ceaa8a3d9d385cbf53d5335f89f80,utilidades_domesticas,42.0,395.0,1.0,1200.0,27.0,18.0,23.0
62224b433a431310bf27129938ad9f64,esporte_lazer,28.0,733.0,6.0,700.0,49.0,12.0,27.0
ac1290e4432c1f2662b71ac47da47691,telefonia,43.0,533.0,2.0,125.0,19.0,3.0,11.0
